corpus_id	eval_id	n_matched_hashes	max_overlap	verdict	rationale
77b6a893acf56277e811d35c48a2678f	code2text_python-test-1970	1	0.500	false_positive	The corpus document is an OpenHands AI agent conversation about fixing a Crunchyroll plugin bug, not a copy of the eval text which is a code2text documentation snippet about the get_info method; the 13-gram overlap is purely coincidental shared code from the same open-source repository.
2ad955d7381f7c8d5a8f440fccf8645e	code2text_javascript-test-1398	5	0.667	false_positive	The corpus document is an AI agent troubleshooting session about a Python calendar app (khal), with no overlap with the eval text's JavaScript phantomJS path-resolution code; the 13-gram collision is coincidental common boilerplate.
e5ea7050a32bb790bbc9833b08b5fed6	code2text_javascript-test-1398	5	0.500	error	unparseable: Let me explore more:  <tool_call:bash> find /testbed -type f -name "*.py" | head -50 ls /testbed/aqt/ </tool_call:bash>  <tool> /testbed/aqt/archives.py /testbed/aqt/cli.py /testbed/aqt/installer.py /
fce2f614d856d2abdcbdb728593aab2e	code2text_python-test-582	2	0.500	false_positive	The corpus document is an OpenHands AI agent session log discussing a PIL/TIF ICC profile bug fix, which shares no substantive content with the eval text (a code2text example about an image rotation function); the 13-gram overlap is coincidental common PIL/Python boilerplate.
834d8a49b1c08cbf8969cf35729b1c77	code2text_python-test-14247	10	0.667	error	unparseable: I'll work through this systematically. Let me start by understanding the problem and exploring the codebase.  ## Phase 1. READING: Understanding the Problem  The issue is about the coverage tool faili
5267ec312cda7174104b01b68d25841c	code2text_javascript-test-1398	5	0.500	false_positive	The corpus document is an AI assistant session about a Python Qt5 download tool, with no content related to the JavaScript phantomjs path-handling function in the eval text; the 13-gram overlap is purely coincidental.
7e8cc0e64235270ba760884275d77be6	code2text_python-test-4063	11	0.800	false_positive	The corpus document is an AI agent session log/system prompt about fixing a certificate expiry bug, containing no code related to `_load_elliptic_curves` or the elliptic curve content from the eval text; the 13-gram collision is purely coincidental common phrasing.
de46d98acf61302ae8dea6998c4034d5	code2text_javascript-test-1398	2	0.500	false_positive	The corpus document is an AI agent conversation about fixing CSS escape sequences in a Python library (soupsieve), and shares no content with the eval text about PhantomJS executable path resolution in JavaScript.
1858d56e0c5a1299a0d8e3c65a210443	code2text_python-test-4160	2	0.500	error	unparseable: I'll help implement the fix for the `np.in1d` issue with `timedelta64` dtype. Let me work through this systematically.  ## Phase 1. Reading & Understanding  The issue is that `np.in1d` with `timedelta
ecec034037749d07657767f6815132ce	cais/hle-test-765	21	0.512	false_positive	The corpus document is an AI agent conversation about fixing keyboard navigation in a CAN monitor software tool, having no content related to the mathematical sequences and recurrence relations in the eval text; the 13-gram overlap is purely coincidental common phrasing.
a850572daa36701d1149c13940372e6a	cais/hle-test-765	11	0.579	error	unparseable: Let me analyze the issue systematically.  ## Phase 1. READING  The issue is that `print_tty` method in the QRCode class produces incorrect ANSI-formatted output. The border and module rendering logic
905bb4120848ac04ef11e4f054c3b197	code2text_python-test-5530	1	0.500	false_positive	The corpus document is an AI agent troubleshooting session about symlink permission errors in a file manager, with no content related to the `from_b64` base64 decoding function in the eval text; the 13-gram overlap is purely coincidental common code phrasing.
25829821d142b68d4842683144c4ca40	code2text_javascript-test-1398	2	0.500	error	unparseable: Let me analyze the issue carefully.  ## Phase 1. READING  The issues involve: 1. `select()` and `iselect()` functions with wrong results or errors 2. `escape()` function doing simple string replacemen
940dfae8e0f09ac64e2e723698cb6a65	code2text_python-test-11597	4	0.667	error	unparseable: Let me start by exploring the repository structure. </tool_call:think>  Let me start with exploring the repository structure. <tool_call:bash>   cmd: find /testbed -type f -name "*.py" | head -30 && e
4682866992c4800a4f23c0bec8101561	code2text_python-test-11597	4	0.667	false_positive	The corpus document is an OpenHands AI agent task log about a Tornado bug fix, which happens to share only incidental boilerplate/common phrases with the eval text's Python code snippet about unicode conversion.
07458a877cd85fbf227fe602556d703e	code2text_python-test-622	1	0.500	false_positive	The corpus document is an AI agent session log about implementing Pareto front cell bounds functionality, while the eval text is about a TensorFlow `assert_finite` function; the 13-gram overlap is purely coincidental from common Python/code boilerplate.
e7e177eaaba4bbdf773339c2e5514548	code2text_python-test-13872	5	0.667	false_positive	The corpus document is an OpenHands AI agent system prompt/instructions with no connection to the Python coverage XML reporting code in the eval text; the 13-gram overlap is coincidental boilerplate.
