corpus_id	eval_id	n_matched_hashes	max_overlap	verdict	rationale
f87f83a4f48688c93c3a4ca8dc1aade4	TIGER-Lab/MMLU-Pro-test-10740	11	0.550	false_positive	The 13-gram overlap is due to shared boilerplate instructional phrasing ('Use indirect truth tables to determine whether...consistent valuation when'), but the two problems involve entirely different propositions, variables, and answer choices.
2b1d295f41f1960284ebc14b9c64e3d7	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The shared 13-gram is just the common question stem 'Which of the given formulas of PL is the best symbolization of the following sentence?' — the actual sentences, answer choices, and logical content are entirely different.
09a5c333c3a50e4733b5b5a98753a2eb	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The shared 13-gram is only the generic question stem 'Which of the given formulas of PL is the best symbolization of the following sentence?' — the actual sentences, answer choices, and logical content are entirely different.
6ab5e6dffb6456855134dfe198265b7d	TIGER-Lab/MMLU-Pro-test-10740	11	0.550	false_positive	The overlap is only in the shared boilerplate instruction phrase about indirect truth tables; the actual propositions, variables, and answer choices are entirely different problems.
5efc0a77cf5bdd0d78f30d34962749b2	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The shared 13-gram is just the boilerplate question stem 'Which of the given formulas of PL is the best symbolization of the following sentence?' — the actual sentences to be symbolized, the answer choices, and the logical content are entirely different.
566238284cbae62328c5f7d6fc78152d	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The 13-gram overlap is limited to the shared boilerplate instruction ('Construct a complete truth table for the following argument...') that appears in many logic problems; the actual arguments, variables, and answer choices are entirely different.
35e3dcf12ce260d3da0209516362e3a5	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The 13-gram overlap is due to shared boilerplate phrasing ('Which of the given formulas of PL is the best symbolization of the following sentence') common to this style of logic question, while the actual sentences, variables, and answer choices are entirely different.
27b8b9b716d88ba90611d9a891e2dbe5	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The shared 13-gram is just the common question stem 'Which of the given formulas of PL is the best symbolization of the following sentence?' — the actual sentences, answer choices, and logical content are entirely different.
d3c19f628e41711b9064543df0dda76f	TIGER-Lab/MMLU-Pro-test-10570	19	1.000	false_positive	The shared text is only the boilerplate instruction phrase for indirect truth table problems; the actual logical arguments, variables, premises, conclusions, and answer choices are entirely different.
21b001c4f03379c329f282b79ebf41fc	TIGER-Lab/MMLU-Pro-test-10605	29	0.967	false_positive	The corpus document involves a different argument with different variables (D, G, K, C) and different logical structure, sharing only common boilerplate phrasing about truth tables and counterexamples.
e54b777abf513ab49da5b76edce5a00c	TIGER-Lab/MMLU-Pro-test-10565	16	0.640	false_positive	The shared text is only the standard boilerplate instruction for truth-table logic problems; the actual propositions, answer choices, and correct answers differ entirely between the two documents.
a3bfca1730879e02956cf5dd43bdd9eb	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The 13-gram overlap is due to shared boilerplate instruction text ('Construct a complete truth table for the following argument...') common to many logic problems, while the actual arguments, variables, and answer choices are entirely different.
0c4d11fde23dd6c31c97f34c9000281c	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The 13-gram overlap is due to shared boilerplate phrasing ('Which of the given formulas of PL is the best symbolization of the following sentence?'), but the corpus document covers an entirely different sentence with different subjects, logical structure, and answer choices.
0b86b61caacfc0d4ed71029a560498c2	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The 13-gram overlap is due to shared boilerplate phrasing ('Which of the given formulas of PL is the best symbolization of the following sentence'), but the corpus document covers entirely different propositional content, variables, and answer choices than the eval text.
2449b4497df2966dcad2b2c72ded98ca	TIGER-Lab/MMLU-Pro-test-10605	29	0.967	false_positive	The corpus document addresses a different logical argument (~M ∨ F, ~F ∨ U, ~M / ∴ U) with different variables than the eval text (I ≡ ~J, I ∨ J / I); the shared 13-gram overlap is just the boilerplate instruction text common to this type of logic problem.
549ba42d2f21459cc4d01e7034b32535	TIGER-Lab/MMLU-Pro-test-10734	2	1.000	false_positive	The 13-gram collision is due to shared boilerplate phrasing ('Select the best English interpretation of the given proposition, using the following translation key') used in logic translation exercises, but the corpus document covers a completely different proposition with different predicates and answer choices.
5a416d8339f440fe381517888bd6c684	TIGER-Lab/MMLU-Pro-test-10570	19	1.000	false_positive	The overlap is only the shared boilerplate instruction phrase about indirect truth tables and counterexamples; the actual logical arguments, variables, and answer choices are entirely different.
c43ab66f42b0926a44160794fcfeac30	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The 13-gram overlap is due to shared boilerplate question framing ('Which of the given formulas of PL is the best symbolization of the following sentence?'), but the corpus document uses entirely different variables, subjects, and logical structure with no substantive content derived from the eval text.
e9f3e48c9e5f599c8f89e9fbd9c6033b	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The 13-gram overlap is just the shared boilerplate instruction ('Construct a complete truth table for the following argument...') common to many logic problems; the actual arguments, variables, and answer choices are entirely different.
0a3fe98018922767bd4e083b1e394f5f	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The 13-gram overlap is coincidental boilerplate ('Which of the given formulas of PL is the best symbolization of the following sentence?'), while the actual sentences, variables, and answer choices are entirely different.
d9eb6b58f58ecd19fa0333ced309f915	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The overlap is only in the shared boilerplate instructions for truth table argument analysis questions; the actual logical formulas, variables, and answer choices are entirely different.
4cd3c2f2e0c30eb2c2de9e37b2973411	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The 13-gram overlap is due to shared boilerplate instruction text ('Construct a complete truth table for the following argument...') common to many logic problems, while the actual arguments, variables, and answer choices are entirely different.
fca9d15e4a1bdda6bb6684615929b46a	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The shared text is only the boilerplate instruction header common to many logic/truth-table questions; the actual arguments, variables, and answer choices are entirely different.
d39658792dd055bd46ba750ec6996b77	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The corpus document uses a completely different sentence with different subjects and answer choices; only the generic question template ('Which of the given formulas of PL is the best symbolization of the following sentence?') overlaps, which is common boilerplate for logic exercises.
a2e51c6141f0fc1c19b36c9d7a196e6b	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The 13-gram overlap is limited to the shared boilerplate instruction ('Construct a complete truth table for the following argument...') used across many logic problems; the actual arguments, variables, premises, conclusions, and answer choices are entirely different.
554f2817dd7312fc15ba47d4784411a1	TIGER-Lab/MMLU-Pro-test-10604	3	0.750	false_positive	The corpus document covers a different sentence about John sharing stories and Kenneth's road trips, not the eval's sentence about England, France, China, and South Africa; the 13-gram overlap is due to shared boilerplate phrasing in logic question formatting.
ae6e5360750acb18fa08467519b75463	TIGER-Lab/MMLU-Pro-test-10604	3	1.000	false_positive	The 13-gram overlap is coincidental boilerplate ('Which of the given formulas of PL is the best symbolization of the following sentence?') shared by many logic exercises; the corpus document covers a completely different sentence and answer choices.
e4c8510d6daeee451f6edae7a27d50ea	TIGER-Lab/MMLU-Pro-test-10605	29	1.000	false_positive	The shared text is only the boilerplate instruction for truth-table argument evaluation; the actual logical arguments, answer choices, and content are entirely different between the two documents.
6be93b5d4f3a193dbef10cc080ee7114	TIGER-Lab/MMLU-Pro-test-10740	11	0.550	false_positive	The overlap is limited to shared boilerplate instructions for indirect truth table problems; the actual propositions, variables, and answer choices are entirely different between the two documents.
028d65a6cfbfa1112afd3e4151f02b72	TIGER-Lab/MMLU-Pro-test-10570	19	1.000	false_positive	The shared phrasing is just the standard boilerplate instruction for indirect-truth-table logic problems; the actual arguments, variables, and answer choices are entirely different.
