# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
1	2026-08-22T05:34Z	62e15238b4	-	-	crash	-	crash	lean path at 0.75: NCCL alltoall CUDA OOM step 1; remat 192.33 vs old 188.88 GiB; retry at fraction 0.70
1b	2026-08-22T05:41Z	6b39a2c2a2	-	-	crash	-	crash	fraction 0.70 alone insufficient: same NCCL alltoall OOM, remat floor 193.08 GiB; adding slop 80
1c	2026-08-22T05:48Z	24ff7b01bc	-	-	crash	-	crash	slop 80 no help (194.03 GiB floor); knobs dead, adding MLP remat
1d	2026-08-22T06:00Z	0c0bb5472a	-	-	crash	-	crash	MLP remat a no-op (194.03 byte-identical); pinned collective outputs are un-rematable; trying LHS+ov4+f0.68 (h17b posture)
1e	2026-08-22T06:07Z	8117d49827	-	-	crash	-	crash	LHS posture raises pre-remat peak to 212.35 GiB; LHS closed for lean graph; moving to expert chunking
0	2026-08-22T07:08Z	c3f71b2fc9	21.1638	0.0	pass	drops=0.0,loss=11.8044@15	baseline	old code, same night (ra2a-l2-i00-base)
1g	2026-08-22T07:08Z	69dc015a9c	22.6824	+1.5186	pass	drops=0.0,loss=11.804399@15	keep	lean data path + 2 sequential expert chunks (ra2a-l2-i01g-leanpath-chunk2); beats pooled 22.31
2	2026-08-22T07:31Z	4a1f8d3f56	22.5589	-0.1235	pass	drops=0.0	discard	chunks 3: serialization costs more than memory relief buys; 2 stands
3	2026-08-22T07:41Z	f2fbdd04c5	-	-	crash	-	crash	LHS on chunked graph: pre-remat 206.19, achieved 201.37, NCCL OOM; LHS closed at every structure
6	2026-08-22T08:45Z	c3e7137f1a	22.7163	+0.0339	pass	drops=0.0	discard	device kernel ties on the chunked structure (was -3 pre-47263); stock one-shot stands
7	2026-08-22T09:04Z	578b36af69	22.6888	+0.0064	pass	drops=0.0	discard	FUSION command buffers null on chunked structure (leg-1 -0.25 and crash both gone)
8	2026-08-22T09:25Z	b282cc0d3e	22.5722	-0.1102	pass	drops=0.0	discard	dropping the chunk barrier hurts; the D2D copy is inherent to chained a2a outputs, not the barrier
9	2026-08-22T09:44Z	c9b18858ae	22.7974	+0.1150	pass	drops=0.0	candidate	splits 64 (k=10/group) borderline positive; bracketing with 128
10	2026-08-22T10:01Z	-	22.7781	+0.0957	pass	drops=0.0	keep-64	splits 128 ties 64; both +0.1 over 32 under chunking; default moves to 64
abl	2026-08-22T13:49Z	5c5388d6c2	-	-	pass	ragged loss 1.9757/bpb 0.9749/drops 0.031% vs ep 1.9918/1.0334/2.69%	validated	d768 gb200-rack 10827-step pair: ragged beats pooled on loss, evals, and drops
11	2026-08-22T21:44Z	dbd2628fa8	-	-	crash	-	crash	stock 0.11.0 send/recv fallback: compiles (remat 187.98, symmetric arena freed) then hangs 16 min at step 1; deadlock, not slowness
12	2026-08-22T21:52Z	e12dc963a9	-	-	crash	-	crash	nightly dev20260821 devkernel: ILLEGAL_ADDRESS step 1; hypothesis: symmetric-buffers off -> dk disengaged -> one-shot kMaxPeers fault
12b	2026-08-22T22:11Z	9a94451d6a	19.3975	-3.3806	pass	drops=0.0,loss-band ok	answer	PATCH-FREE: nightly dev20260821 + devkernel + symmetric-buffers trains at 19.40 (vs 22.78 wheel'd one-shot); dk needs symbuf to engage
13	2026-08-22T23:02Z	47850a5560	-	-	crash	-	crash	wheel+dk+symbuf: 3 attempts (S3 outage, unscheduled, silent task-61 death pre-step); deprioritized behind clean-main build
14	2026-08-22T23:44Z	738535f5cc	19.1556	-	pass	drops=0.0	answer	clean-main selfbuilt PJRT + dk + symbuf: 19.16, matches nightly 19.40 not wheel 22.7; build config exonerated
15	2026-08-23T00:03Z	cc0913f293	19.1857	-	pass	drops=0.0	answer	wheel+dk+symbuf: 19.19 == clean-main 19.16 == nightly 19.40; regression is the symbuf flag (~-3.5 on this graph), NOT main dk source; main dk requires symbuf to engage
ab-r	2026-08-23T01:13Z	935ab4b770	22.4611	-	pass	drops=0.015%/0.032%,loss=1.4491@6013	answer	ragged restored from hero step-6000, mixture data (ra2a-l2-ab-ragged-6k-c)
ab-p	2026-08-23T01:13Z	935ab4b770	22.5169	-	pass	drops=2.67%/2.84%,loss=1.4536@6013	answer	pooled control, identical restore (ra2a-l2-ab-pooled-6k): MFU tie, drops 175x higher
16	2026-08-23T04:44Z	3e53fc1b3c	-	-	crash	-	crash	NCCL_SYM_KERNEL=none: strict list parser rejects at comm init
16b	2026-08-23T04:44Z	3e53fc1b3c	-	-	crash	-	crash	NCCL_SYM_KERNEL=AllReduce_AGxLL_R: deployed NCCL is force-or-die (int32 psum errors, no fallback); env-var symk escape dead on this vintage
17	2026-08-23T16:20Z	b3cf55b7be	22.8377	-	pass	drops=0.0	answer	one-shot + GLOBAL symbuf: 22.84 == plain one-shot 22.78; symbuf side effects (symk RS/AG takeover) are FREE on this graph; the dk cells -3.5 is the dk path itself
18	2026-08-23T16:40Z	7721852829	19.3703	-	pass	drops=0.0	answer	dk + SCOPED raggedalltoall registration: 19.37 == engaged-dk band (19.16-19.40); scope irrelevant, the dk path itself is the -3.4; VMODULE audit inert (env set after TF log init), classification by the i17 MFU discriminator
19	2026-08-23T17:05Z	7721852829	19.3700	-	pass	drops=0.0	answer	dk profile arm: RaggedAllToAllDeviceKernelImpl busy ~3.3 s/step (384 launches x 8.5 ms) vs one-shot transport 1.77; ~1.9x in-kernel, all on the critical path; line-rate is ~30 ms so both kernels are latency/overhead-bound, not bandwidth-bound
20	2026-08-23T17:25Z	4c5d466ccd	19.3426	-	pass	drops=0.0	answer	t1024 occupancy patch NULL: 19.34 == unpatched dk band; per-SM in-flight bytes not the limit. i19 trace: one-shot copy 4.85 ms/launch (~660 GB/s, line rate), its NCCL barrier kernels only 0.12 ms; dk 8.52 ms (~380 GB/s). Next: per-peer CTA parallelism (g4x256)
21	2026-08-23T18:09Z	2e5048f8fa	21.0219	+1.6516	pass	drops=0.0	keep-direction	g4x256 grid patch: 21.02, +1.65 over stock dk 19.37; per-peer CTA parallelism confirmed as the dk bottleneck; gap to one-shot 22.8 now 1.8; next g8x128
22	2026-08-23T18:49Z	dd41bc4020	21.6861	+0.6642	pass	drops=0.0	keep-direction	g8x128: 21.69; CTA-parallelism axis still climbing (19.37/21.02/21.69 at 1x/4x/8x); gap to one-shot 1.1; next g16x128 = one CTA per update, end of axis
23	2026-08-23T19:29Z	2dd567498f	21.1118	-0.5743	pass	drops=0.0	answer	g16x128 (one CTA per update): 21.11, REGRESSION vs g8x128 21.69 -- CTA-parallelism axis peaks at 8x/1024 threads-per-SM; residual +2.3 ms/launch vs one-shot; next: multimem (NVLS) LSA barriers on the g8x128 geometry
24	2026-08-23T19:58Z	a20fcabb7f	-	-	crash	-	crash	g8x128mm multimem LSA barrier: ILLEGAL_ADDRESS before step 0 -- comm.lsaMultimem not provisioned by XLA host-side requirements, needs real host wiring not a ctor flag; unicast-storm hypothesis also weakened (8x more CTAs improved perf)
25	2026-08-23T20:20Z	0a474c26bd	21.6668	-	pass	drops=0.0	answer	g8x128 profile: dk kernel 4.56 ms/launch == one-shot 4.85 (PER-LAUNCH PARITY); residual gap is 2x a2a ops/step (576 vs 288, ~12 distinct ops/layer vs 8) -- backward RECOMPUTES forward transport under symbuf registration; +288 launches x 4.56 ms = 1.3 s/step == the 1.1 MFU gap
26	2026-08-23T21:22Z	25abdc6cc8	-	-	crash	-	crash	one-shot (WithNccl barrier) on main vintage: ILLEGAL_ADDRESS at startup -- MultiGpuBarrierWithNcclKernel arrays are kMaxPeers=32-sized with NO count check at 64 ranks; one-shot on unpatched main dead either path, kMaxPeers patch required
27	2026-08-23T22:20Z	751f52649c	22.7662	-	pass	drops=0.0	answer	one-shot on kmax128-only MAIN wheel: 22.77 == wheel one-shot 22.78 -- doubling is NOT vintage-wide, it follows the dk flag (operand registration blocks the backward-recompute elision the output-only one-shot gets); one-shot needs exactly ONE upstream line (kMaxPeers) on main
fix25	2026-08-23T22:45Z	-	-	-	-	-	correction	i25/i27 REINTERPRETED: the 2x launch count is an op SPLIT under scoped registration (both transports, half payload each), not backward recompute -- one-shot busy unchanged (576x2.48=1.43 vs 288x4.85=1.40 s/step); dk at equal payload is 4.56 vs 2.48 ms = ~1.8x per byte, which IS the residual 1.1 MFU
