# metric_direction: bench=lower_is_better(ms), arms=higher_is_better(MFU)
iter	ts	cell	kind	config	metric	delta	status	notes
0	2026-08-24T18:25Z	baseline-oneshot	bench	oneshot s64-equiv uniform	7.56	-	baseline	from loop-260823-dknative bench64b
0	2026-08-24T18:25Z	baseline-dk-stock	bench	dk kmax128 wheel (stock grid)	22.61	+15.05	baseline	from loop-260823-dknative bench64b
0	2026-08-24T18:25Z	baseline-dk-g8x	bench	dk g8x128 wheel	12.18	+4.62	baseline	from loop-260823-dknative bench64b
0	2026-08-24	baseline-synth	synth	dk g8x128 s1 22.62 vs oneshot s64 22.77	22.62	-0.15	baseline	loop-260823 final standings
0	2026-08-24	baseline-restore	restore	dk g8x128 s64 21.98 vs oneshot s64 22.46-22.60	21.98	-0.5	baseline	loop-260823 final standings
1	2026-08-24T22:0xZ	dkp-a1-mode-symmem	bench	dk g8x128 + mode=COLLECTIVES_SYMMETRIC_MEMORY	-	-	running	expected null (put-path guards fallback only)
1	2026-08-24T22:0xZ	b1-ilp4	build	g8x128 + 4-way ILP unroll LSA copy	-	-	running	job ra2a-mw-build-g8x128ilp4-20260824
1	2026-08-24T22:1xZ	b2-cta0bar8	build	fork 8844d77b43 cta0-delegated barrier, grid 8x128	-	-	running	job ra2a-mw-build-cta0bar8c-20260824
1	2026-08-24T22:01Z	dkp-a1b-mode-symmem	bench	dk g8x128 + mode=symmetric	13.25	-	discard	no win vs same-night baselines (12.25-14.20 spread); enum value is lowercase "symmetric"
1	2026-08-24T22:05Z	dkp-a2-gxl	bench	GXL backend via fallback path	-	-	crash	hung 25min after NCCL channel setup; GXL comm absent in our NCCL build; killed. Dead end.
2	2026-08-24T23:28Z	dkp-b1-ilp4	bench	g8x128+4-way ILP unroll	13.43	-	inconclusive	13.45/13.43 two attempts (tight in-job); between-job variance swamps delta
2	2026-08-25T00:00Z	dkp-b0-g8x-rebase	bench	g8x128 baseline re-run	14.20	-	baseline	SAME config as yesterdays 12.18: cross-night numbers NOT comparable
2	2026-08-25T00:11Z	dkp-b2-cta0bar8	bench	cta0-delegated barrier, 8x128	12.73	-	promising	-1.5 vs adjacent 14.20 baseline but next baseline read 12.25; needs ladder
2	2026-08-25T00:31Z	dkp-b0v-g8x	bench	g8x128 baseline, validating bench	12.25	-	baseline	VALIDATION OK; between-job spread 12.25-14.20 (64-of-72 co-tenancy)
3	2026-08-25T00:5xZ	ladder-r1	bench	interleaved 2x(g8x,cta8,cta16,cta32)	-	-	running	paired medians; ladder.sh r1
4	2026-08-25T01:41Z	usweep	bench	dk U=1: 7.95ms/404GBs = ONE-SHOT SPEED; U=120: 20.4; oneshot U=1: 24.2	7.95	-	keep-insight	Granularity is the whole dk gap; transports have opposite U preferences
4	2026-08-25T02:0xZ	b3-dkbal	build	work-proportional CTA assignment (fork ragged-a2a-dk-balanced 06df0ee8a6)	-	-	running	subsumes ctas_per_unit; targets skew regime without splits
4	2026-08-25T01:59Z	ucurve	bench	dk U=2/3/6/15: 8.34/8.30/8.16/8.56; cliff at U=30 (12.2) = wave quantization (units>grid, 2nd wave 62% occupied x1.5); U=120 7 waves 20.4	8.30	-	keep-insight	skewed hero units starve under fixed assignment; balanced kernel targets both
5	2026-08-25T02:19Z	balscreen	bench	bal U=1/3/30/120: 8.66/8.31/10.90/14.17 (stock: 7.95/8.30/12.2/20.4)	8.31	-	keep	big gains at high U, tie at training U=3, all VALIDATION OK
5	2026-08-25T02:5xZ	dkp-05-bal-synth	synth	hero synthetic, bal wheel, s1	22.51	-0.11	parity	vs dk 22.62 / oneshot 22.77; uniform regime as bench predicted
5	2026-08-25T03:0xZ	dkp-06-bal-6k	restore	hero 6k restore, bal wheel, s1	-	-	running	the skew-regime gate; stock dk 21.43(s1)/21.98(s64), oneshot 22.46-22.60
5	2026-08-25T03:20Z	dkp-06-bal-6k	restore	hero 6k restore, bal wheel, s1	22.34	+0.36 vs dk-best	KEEP	vs stock dk 21.98(s64)/21.43(s1); oneshot 22.46-22.60; loss 1.4727 sane, drops ~0
6	2026-08-25T03:2xZ	dkp-07-bal-6k-rep	restore	repeat draw of dkp-06	-	-	running	second draw for the parity claim
6	2026-08-25T04:0xZ	dkp-07-bal-6k-rep	restore	repeat draw	22.58	-	KEEP	two draws 22.34/22.58 = mean 22.46, ON the oneshot band 22.46-22.60. PARITY.
6	2026-08-25T04:1xZ	dkp-08-bal-6k-s64	restore	bal + splits=64 (mechanism null-check)	-	-	running	expect <= s1: balanced kernel should make splits unnecessary
7	2026-08-25T04:40Z	dkp-08-bal-6k-s64	restore	bal + splits=64	21.12	-1.3 vs bal-s1	null-confirmed	splits now purely hurt: balanced kernel replaces splits as the balancing device
7	2026-08-25T04:4xZ	dkp-09-oneshot-6k	restore	same-night one-shot pairing (kmax128 wheel, s64)	-	-	running	rigorous adjacent A/B for the parity claim
8	2026-08-25T07:05Z	dkp-09c-oneshot-6k	restore	same-night one-shot pairing (s64)	21.93	-0.53 vs bal-mean	KEY	one-shot BELOW its historical band tonight; balanced dk AHEAD same-night
8	2026-08-25T07:1xZ	dkp-10-oneshot-6k-r2	restore	second one-shot draw	-	-	running	interleaved round 2
9	2026-08-25T08:00Z	dkp-10-oneshot-6k-r2	restore	second one-shot draw	22.05	-	KEY	oneshot tonight: 21.93/22.05
9	2026-08-25T08:15Z	dkp-11-bal-6k-r3	restore	third balanced draw, LATE window (drift control)	22.47	+0.47 vs oneshot-mean	KEEP-FINAL	bal: 22.34/22.58/22.47 vs oneshot 21.93/22.05 interleaved same-night. GOAL EXCEEDED.
10	2026-08-25T17:36Z	dkp-bal9-u3/u30	bench	review-cleaned commit d6d3132a90 (merged cta-count fn, renames, comment fixes)	8.92/9.62	-	revalidated	VALIDATION OK both; ragged-a2a-dk-balanced force-updated via API, v2/v3 pruned
