target_family,component_group,task,semantic_group,selected_proxy_metric,selected_proxy_direction,selected_proxy_kind,selected_proxy_snr,selected_proxy_accuracy_spearman,optimization_recommendation,accuracy_metric,component_weight_within_group
task_proxy_irt,arc_challenge_5shot,arc_challenge_5shot,arc,lm_eval/arc_challenge_5shot/choice_prob_norm,maximize,choice_prob_norm,1.610520260761978,0.686910286560423,downweight,lm_eval/arc_challenge_5shot/acc,1.0
task_proxy_irt,arc_easy,arc_easy,arc,lm_eval/arc_easy/choice_logprob_norm,maximize,choice_logprob_norm,1.3560473629532914,0.7207977973397098,downweight,lm_eval/arc_easy/acc,1.0
task_proxy_irt,arc_easy_5shot,arc_easy_5shot,arc,lm_eval/arc_easy_5shot/choice_logprob_norm,maximize,choice_logprob_norm,1.7531089567308502,0.7181661370378837,downweight,lm_eval/arc_easy_5shot/acc,1.0
task_proxy_irt,boolq_10shot,boolq_10shot,commonsense_qa,lm_eval/boolq_10shot/choice_prob_norm,maximize,choice_prob_norm,1.0390117935961378,0.984689838319688,downweight,lm_eval/boolq_10shot/acc,1.0
task_proxy_irt,gsm8k,gsm8k,gsm8k,teacher_forced/gsm8k_5shot_gold_solution/nll,minimize,nll,1.734930819647405,-0.3554419901203208,downweight,"lm_eval/gsm8k/exact_match,strict-match",1.0
task_proxy_irt,hellaswag_0shot,hellaswag_0shot,hellaswag_swag,lm_eval/hellaswag_0shot/choice_logprob_norm,maximize,choice_logprob_norm,5.166391420308237,0.8339727495848969,keep,lm_eval/hellaswag_0shot/acc,1.0
task_proxy_irt,hellaswag_5shot,hellaswag_5shot,hellaswag_swag,lm_eval/hellaswag_5shot/choice_logprob_norm,maximize,choice_logprob_norm,5.1591927062815,0.814751261342001,keep,lm_eval/hellaswag_5shot/acc,1.0
task_proxy_irt,humaneval,humaneval,humaneval,teacher_forced/humaneval_10shot_canonical_solution/nll,minimize,nll,9.205022429596928,-0.490576860523473,keep,"lm_eval/humaneval/pass@1,create_test",1.0
task_proxy_irt,lambada_0shot,lambada_0shot,other_task,lm_eval/lambada_0shot/perplexity,minimize,perplexity,4.654767476102081,-0.8974743010806547,keep,lm_eval/lambada_0shot/acc,1.0
task_proxy_irt,medmcqa_5shot,medmcqa_5shot,commonsense_qa,mcq_smooth/medmcqa_5shot/choice_prob_norm,maximize,choice_prob_norm,1.840872565255804,0.6884285316650335,downweight,lm_eval/medmcqa_5shot/acc,1.0
task_proxy_irt,mmlu_standard,mmlu_high_school_macroeconomics_5shot,mmlu,lm_eval/mmlu_high_school_macroeconomics_5shot/choice_prob_norm,maximize,choice_prob_norm,2.4862640993919185,0.8349833586633676,keep,lm_eval/mmlu_high_school_macroeconomics_5shot/acc,0.047434059527788196
task_proxy_irt,mmlu_standard,mmlu_high_school_psychology_5shot,mmlu,lm_eval/mmlu_high_school_psychology_5shot/choice_prob_norm,maximize,choice_prob_norm,2.3043513423364974,0.6752256435233679,keep,lm_eval/mmlu_high_school_psychology_5shot/acc,0.039791961590563196
task_proxy_irt,mmlu_standard,mmlu_sl_verb_5shot,mmlu,lm_eval/mmlu_sl_verb_5shot/choice_logprob_norm,maximize,choice_logprob_norm,3.166172871466376,0.5273752536882306,keep,lm_eval/mmlu_sl_verb_5shot/acc,0.027475044560227053
task_proxy_irt,mmlu_standard,mmlu_miscellaneous_sl_verb_5shot,mmlu,lm_eval/mmlu_miscellaneous_sl_verb_5shot/choice_logprob_norm,maximize,choice_logprob_norm,2.1515179733566705,0.405831219942331,keep,lm_eval/mmlu_miscellaneous_sl_verb_5shot/acc,0.017667003750126215
task_proxy_irt,mmlu_standard,mmlu_high_school_government_and_politics_5shot,mmlu,lm_eval/mmlu_high_school_government_and_politics_5shot/choice_prob_norm,maximize,choice_prob_norm,1.8845021372532331,0.7911666006064881,downweight,lm_eval/mmlu_high_school_government_and_politics_5shot/acc,0.022404563082380494
task_proxy_irt,mmlu_standard,mmlu_virology_5shot,mmlu,lm_eval/mmlu_virology_5shot/choice_prob_norm,maximize,choice_prob_norm,1.3824671435082725,0.8671501287193946,downweight,lm_eval/mmlu_virology_5shot/acc,0.018643858382060573
task_proxy_irt,mmlu_standard,mmlu_social_sciences_5shot,mmlu,lm_eval/mmlu_social_sciences_5shot/choice_prob_norm,maximize,choice_prob_norm,1.2945395811910805,0.8713704993152751,downweight,lm_eval/mmlu_social_sciences_5shot/acc,0.018353574078365156
task_proxy_irt,mmlu_standard,mmlu_us_foreign_policy_5shot,mmlu,lm_eval/mmlu_us_foreign_policy_5shot/choice_prob_norm,maximize,choice_prob_norm,1.380509048482606,0.9051989476711984,downweight,lm_eval/mmlu_us_foreign_policy_5shot/acc,0.018208317754004163
task_proxy_irt,mmlu_standard,mmlu_electrical_engineering_5shot,mmlu,lm_eval/mmlu_electrical_engineering_5shot/choice_prob_norm,maximize,choice_prob_norm,1.688148725866076,0.8120031747399866,downweight,lm_eval/mmlu_electrical_engineering_5shot/acc,0.017654772162275168
task_proxy_irt,mmlu_standard,mmlu_human_aging_5shot,mmlu,lm_eval/mmlu_human_aging_5shot/choice_prob_norm,maximize,choice_prob_norm,1.7159783170628315,0.6999599789415885,downweight,lm_eval/mmlu_human_aging_5shot/acc,0.017516705555286265
task_proxy_irt,mmlu_standard,mmlu_5shot,mmlu,lm_eval/mmlu_5shot/choice_prob_norm,maximize,choice_prob_norm,1.400393196286725,0.8646300431504848,downweight,lm_eval/mmlu_5shot/acc,0.01724520828701077
task_proxy_irt,mmlu_standard,mmlu_security_studies_5shot,mmlu,lm_eval/mmlu_security_studies_5shot/choice_prob_norm,maximize,choice_prob_norm,1.3846365639340867,0.8918208529697518,downweight,lm_eval/mmlu_security_studies_5shot/acc,0.016253208494708633
task_proxy_irt,mmlu_standard,mmlu_formal_logic_5shot,mmlu,lm_eval/mmlu_formal_logic_5shot/choice_prob_norm,maximize,choice_prob_norm,1.490435418519645,0.792074249522163,downweight,lm_eval/mmlu_formal_logic_5shot/acc,0.015420198518179072
task_proxy_irt,mmlu_standard,mmlu_college_computer_science_5shot,mmlu,lm_eval/mmlu_college_computer_science_5shot/choice_prob_norm,maximize,choice_prob_norm,1.115672818192391,0.7859403587717774,downweight,lm_eval/mmlu_college_computer_science_5shot/acc,0.015317618539065854
task_proxy_irt,mmlu_standard,mmlu_anatomy_5shot,mmlu,lm_eval/mmlu_anatomy_5shot/choice_prob_norm,maximize,choice_prob_norm,1.6452014761606155,0.7874365788355387,downweight,lm_eval/mmlu_anatomy_5shot/acc,0.015112000131032529
task_proxy_irt,mmlu_standard,mmlu_moral_disputes_5shot,mmlu,lm_eval/mmlu_moral_disputes_5shot/choice_prob_norm,maximize,choice_prob_norm,1.288185335973154,0.7920536313015223,downweight,lm_eval/mmlu_moral_disputes_5shot/acc,0.015028293694661108
task_proxy_irt,mmlu_standard,mmlu_philosophy_5shot,mmlu,lm_eval/mmlu_philosophy_5shot/choice_prob_norm,maximize,choice_prob_norm,1.1279368241374286,0.7647416387922091,downweight,lm_eval/mmlu_philosophy_5shot/acc,0.01490902503529218
task_proxy_irt,mmlu_standard,mmlu_professional_medicine_5shot,mmlu,lm_eval/mmlu_professional_medicine_5shot/choice_prob_norm,maximize,choice_prob_norm,1.124973161324935,0.9316634570229848,downweight,lm_eval/mmlu_professional_medicine_5shot/acc,0.014863106262470656
task_proxy_irt,mmlu_standard,mmlu_high_school_biology_5shot,mmlu,lm_eval/mmlu_high_school_biology_5shot/choice_prob_norm,maximize,choice_prob_norm,1.8637747743122264,0.7494538299156528,downweight,lm_eval/mmlu_high_school_biology_5shot/acc,0.014634644587828623
task_proxy_irt,mmlu_standard,mmlu_management_5shot,mmlu,lm_eval/mmlu_management_5shot/choice_prob_norm,maximize,choice_prob_norm,1.625007053054944,0.6568224079346249,downweight,lm_eval/mmlu_management_5shot/acc,0.014578604099184796
task_proxy_irt,mmlu_standard,mmlu_human_sexuality_5shot,mmlu,lm_eval/mmlu_human_sexuality_5shot/choice_prob_norm,maximize,choice_prob_norm,1.1049960439265696,0.7850004939336602,downweight,lm_eval/mmlu_human_sexuality_5shot/acc,0.01448216954156358
task_proxy_irt,mmlu_standard,mmlu_humanities_5shot,mmlu,lm_eval/mmlu_humanities_5shot/choice_prob_norm,maximize,choice_prob_norm,1.0320837164750465,0.8322745139042398,downweight,lm_eval/mmlu_humanities_5shot/acc,0.014274960516791863
