eval_id	subtree	variant	flagged	max_overlap	eval_chars
mmlu_machine_learning-test-48	lmh/mmlu_machine_learning	verbatim	1	1.000	881
mmlu_machine_learning-test-48	lmh/mmlu_machine_learning	with_prefix	1	1.000	881
mmlu_machine_learning-test-48	lmh/mmlu_machine_learning	with_suffix	1	1.000	881
mmlu_machine_learning-test-48	lmh/mmlu_machine_learning	paraphrase	0	0.000	881
bbh_fewshot_logical_deduction_three_objects-test-24	lmh/bbh_fewshot_logical_deduction_three_objects	verbatim	1	1.000	706
bbh_fewshot_logical_deduction_three_objects-test-24	lmh/bbh_fewshot_logical_deduction_three_objects	with_prefix	1	1.000	706
bbh_fewshot_logical_deduction_three_objects-test-24	lmh/bbh_fewshot_logical_deduction_three_objects	with_suffix	1	1.000	706
bbh_fewshot_logical_deduction_three_objects-test-24	lmh/bbh_fewshot_logical_deduction_three_objects	paraphrase	0	0.000	706
agieval_gaokao_chinese-test-91	lmh/agieval_gaokao_chinese	verbatim	0	0.000	2992
agieval_gaokao_chinese-test-91	lmh/agieval_gaokao_chinese	with_prefix	0	0.000	2992
agieval_gaokao_chinese-test-91	lmh/agieval_gaokao_chinese	with_suffix	0	0.000	2992
agieval_gaokao_chinese-test-91	lmh/agieval_gaokao_chinese	paraphrase	0	0.000	2992
zhoblimp_agent_animacy_passive-test-176	lmh/zhoblimp_agent_animacy_passive	verbatim	0	0.000	67
zhoblimp_agent_animacy_passive-test-176	lmh/zhoblimp_agent_animacy_passive	with_prefix	0	0.000	67
zhoblimp_agent_animacy_passive-test-176	lmh/zhoblimp_agent_animacy_passive	with_suffix	0	0.000	67
zhoblimp_agent_animacy_passive-test-176	lmh/zhoblimp_agent_animacy_passive	paraphrase	0	0.000	67
blimp_nl__adpositional_phrases__argument_r_extraction-test-77	lmh/blimp_nl__adpositional_phrases__argument_r_extraction	verbatim	0	0.000	98
blimp_nl__adpositional_phrases__argument_r_extraction-test-77	lmh/blimp_nl__adpositional_phrases__argument_r_extraction	with_prefix	0	0.000	98
blimp_nl__adpositional_phrases__argument_r_extraction-test-77	lmh/blimp_nl__adpositional_phrases__argument_r_extraction	with_suffix	0	0.000	98
blimp_nl__adpositional_phrases__argument_r_extraction-test-77	lmh/blimp_nl__adpositional_phrases__argument_r_extraction	paraphrase	0	0.000	98
belebele_snd_Arab-test-270	lmh/belebele_snd_Arab	verbatim	1	1.000	1125
belebele_snd_Arab-test-270	lmh/belebele_snd_Arab	with_prefix	1	1.000	1125
belebele_snd_Arab-test-270	lmh/belebele_snd_Arab	with_suffix	1	1.000	1125
belebele_snd_Arab-test-270	lmh/belebele_snd_Arab	paraphrase	0	0.000	1125
belebele_mya_Mymr-test-826	lmh/belebele_mya_Mymr	verbatim	1	1.000	1753
belebele_mya_Mymr-test-826	lmh/belebele_mya_Mymr	with_prefix	1	1.000	1753
belebele_mya_Mymr-test-826	lmh/belebele_mya_Mymr	with_suffix	1	1.000	1753
belebele_mya_Mymr-test-826	lmh/belebele_mya_Mymr	paraphrase	0	0.000	1753
bbh_zeroshot_movie_recommendation-test-11	lmh/bbh_zeroshot_movie_recommendation	verbatim	1	1.000	406
bbh_zeroshot_movie_recommendation-test-11	lmh/bbh_zeroshot_movie_recommendation	with_prefix	1	1.000	406
bbh_zeroshot_movie_recommendation-test-11	lmh/bbh_zeroshot_movie_recommendation	with_suffix	1	1.000	406
bbh_zeroshot_movie_recommendation-test-11	lmh/bbh_zeroshot_movie_recommendation	paraphrase	0	0.000	406
zhoblimp_BEI_preposition-test-235	lmh/zhoblimp_BEI_preposition	verbatim	0	0.000	48
zhoblimp_BEI_preposition-test-235	lmh/zhoblimp_BEI_preposition	with_prefix	0	0.000	48
zhoblimp_BEI_preposition-test-235	lmh/zhoblimp_BEI_preposition	with_suffix	0	0.000	48
zhoblimp_BEI_preposition-test-235	lmh/zhoblimp_BEI_preposition	paraphrase	0	0.000	48
bbh_fewshot_boolean_expressions-test-137	lmh/bbh_fewshot_boolean_expressions	verbatim	0	0.000	82
bbh_fewshot_boolean_expressions-test-137	lmh/bbh_fewshot_boolean_expressions	with_prefix	0	0.000	82
bbh_fewshot_boolean_expressions-test-137	lmh/bbh_fewshot_boolean_expressions	with_suffix	0	0.000	82
bbh_fewshot_boolean_expressions-test-137	lmh/bbh_fewshot_boolean_expressions	paraphrase	0	0.000	82
piqa-validation-255	lmh/piqa	verbatim	1	1.000	258
piqa-validation-255	lmh/piqa	with_prefix	1	1.000	258
piqa-validation-255	lmh/piqa	with_suffix	1	1.000	258
piqa-validation-255	lmh/piqa	paraphrase	0	0.000	258
zhoblimp_agent_animacy_adv-test-193	lmh/zhoblimp_agent_animacy_adv	verbatim	0	0.000	61
zhoblimp_agent_animacy_adv-test-193	lmh/zhoblimp_agent_animacy_adv	with_prefix	0	0.000	61
zhoblimp_agent_animacy_adv-test-193	lmh/zhoblimp_agent_animacy_adv	with_suffix	0	0.000	61
zhoblimp_agent_animacy_adv-test-193	lmh/zhoblimp_agent_animacy_adv	paraphrase	0	0.000	61
lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES-test-322	lmh/lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES	verbatim	0	0.000	89
lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES-test-322	lmh/lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES	with_prefix	0	0.000	89
lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES-test-322	lmh/lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES	with_suffix	0	0.000	89
lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES-test-322	lmh/lm_syneval__agreement__subj_rel__plur_MS_EV_MV_sing_ES	paraphrase	0	0.000	89
bbh_cot_zeroshot_multistep_arithmetic_two-test-141	lmh/bbh_cot_zeroshot_multistep_arithmetic_two	verbatim	1	1.000	130
bbh_cot_zeroshot_multistep_arithmetic_two-test-141	lmh/bbh_cot_zeroshot_multistep_arithmetic_two	with_prefix	1	1.000	130
bbh_cot_zeroshot_multistep_arithmetic_two-test-141	lmh/bbh_cot_zeroshot_multistep_arithmetic_two	with_suffix	1	1.000	130
bbh_cot_zeroshot_multistep_arithmetic_two-test-141	lmh/bbh_cot_zeroshot_multistep_arithmetic_two	paraphrase	1	1.000	130
mgsm_direct_de-test-75	lmh/mgsm_direct_de	verbatim	1	1.000	672
mgsm_direct_de-test-75	lmh/mgsm_direct_de	with_prefix	1	1.000	672
mgsm_direct_de-test-75	lmh/mgsm_direct_de	with_suffix	1	1.000	672
mgsm_direct_de-test-75	lmh/mgsm_direct_de	paraphrase	0	0.000	672
kmmlu_energy_management-test-849	lmh/kmmlu_energy_management	verbatim	1	1.000	300
kmmlu_energy_management-test-849	lmh/kmmlu_energy_management	with_prefix	1	1.000	300
kmmlu_energy_management-test-849	lmh/kmmlu_energy_management	with_suffix	1	1.000	300
kmmlu_energy_management-test-849	lmh/kmmlu_energy_management	paraphrase	0	0.000	300
agieval_jec_qa_ca-test-643	lmh/agieval_jec_qa_ca	verbatim	0	0.000	716
agieval_jec_qa_ca-test-643	lmh/agieval_jec_qa_ca	with_prefix	0	0.000	716
agieval_jec_qa_ca-test-643	lmh/agieval_jec_qa_ca	with_suffix	0	0.000	716
agieval_jec_qa_ca-test-643	lmh/agieval_jec_qa_ca	paraphrase	0	0.000	716
agieval_gaokao_mathqa-test-316	lmh/agieval_gaokao_mathqa	verbatim	0	0.000	398
agieval_gaokao_mathqa-test-316	lmh/agieval_gaokao_mathqa	with_prefix	0	0.000	398
agieval_gaokao_mathqa-test-316	lmh/agieval_gaokao_mathqa	with_suffix	0	0.000	398
agieval_gaokao_mathqa-test-316	lmh/agieval_gaokao_mathqa	paraphrase	0	0.000	398
bbh_cot_zeroshot_salient_translation_error_detection-test-226	lmh/bbh_cot_zeroshot_salient_translation_error_detection	verbatim	1	1.000	2124
bbh_cot_zeroshot_salient_translation_error_detection-test-226	lmh/bbh_cot_zeroshot_salient_translation_error_detection	with_prefix	1	1.000	2124
bbh_cot_zeroshot_salient_translation_error_detection-test-226	lmh/bbh_cot_zeroshot_salient_translation_error_detection	with_suffix	1	1.000	2124
bbh_cot_zeroshot_salient_translation_error_detection-test-226	lmh/bbh_cot_zeroshot_salient_translation_error_detection	paraphrase	1	0.647	2124
belebele_mal_Mlym-test-882	lmh/belebele_mal_Mlym	verbatim	1	1.000	2184
belebele_mal_Mlym-test-882	lmh/belebele_mal_Mlym	with_prefix	1	1.000	2184
belebele_mal_Mlym-test-882	lmh/belebele_mal_Mlym	with_suffix	1	1.000	2184
belebele_mal_Mlym-test-882	lmh/belebele_mal_Mlym	paraphrase	0	0.000	2184
belebele_pes_Arab-test-370	lmh/belebele_pes_Arab	verbatim	1	1.000	1607
belebele_pes_Arab-test-370	lmh/belebele_pes_Arab	with_prefix	1	1.000	1607
belebele_pes_Arab-test-370	lmh/belebele_pes_Arab	with_suffix	1	1.000	1607
belebele_pes_Arab-test-370	lmh/belebele_pes_Arab	paraphrase	0	0.000	1607
lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV-test-2364	lmh/lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV	verbatim	0	0.000	109
lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV-test-2364	lmh/lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV	with_prefix	0	0.000	109
lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV-test-2364	lmh/lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV	with_suffix	0	0.000	109
lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV-test-2364	lmh/lm_syneval__agreement__obj_rel_across_inanim__sing_IS_IV_plur_ES_EV	paraphrase	0	0.000	109
minerva_math_precalc-test-196	lmh/minerva_math_precalc	verbatim	1	1.000	1801
minerva_math_precalc-test-196	lmh/minerva_math_precalc	with_prefix	1	1.000	1801
minerva_math_precalc-test-196	lmh/minerva_math_precalc	with_suffix	1	1.000	1801
minerva_math_precalc-test-196	lmh/minerva_math_precalc	paraphrase	1	1.000	1801
agieval_gaokao_geography-test-180	lmh/agieval_gaokao_geography	verbatim	0	0.000	241
agieval_gaokao_geography-test-180	lmh/agieval_gaokao_geography	with_prefix	0	0.000	241
agieval_gaokao_geography-test-180	lmh/agieval_gaokao_geography	with_suffix	0	0.000	241
agieval_gaokao_geography-test-180	lmh/agieval_gaokao_geography	paraphrase	0	0.000	241
lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS-test-71	lmh/lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS	verbatim	0	0.000	93
lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS-test-71	lmh/lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS	with_prefix	0	0.000	93
lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS-test-71	lmh/lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS	with_suffix	0	0.000	93
lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS-test-71	lmh/lm_syneval__reflexives__reflexive_sent_comp__sing_MS_ANPHR_sing_BS	paraphrase	0	0.000	93
belebele_isl_Latn-test-46	lmh/belebele_isl_Latn	verbatim	1	1.000	1551
belebele_isl_Latn-test-46	lmh/belebele_isl_Latn	with_prefix	1	1.000	1551
belebele_isl_Latn-test-46	lmh/belebele_isl_Latn	with_suffix	1	1.000	1551
belebele_isl_Latn-test-46	lmh/belebele_isl_Latn	paraphrase	0	0.000	1551
wnli-validation-29	lmh/wnli	verbatim	1	1.000	331
wnli-validation-29	lmh/wnli	with_prefix	1	1.000	331
wnli-validation-29	lmh/wnli	with_suffix	1	1.000	331
wnli-validation-29	lmh/wnli	paraphrase	0	0.000	331
mmlu_pro_business-test-296	lmh/mmlu_pro_business	verbatim	1	1.000	728
mmlu_pro_business-test-296	lmh/mmlu_pro_business	with_prefix	1	1.000	728
mmlu_pro_business-test-296	lmh/mmlu_pro_business	with_suffix	1	1.000	728
mmlu_pro_business-test-296	lmh/mmlu_pro_business	paraphrase	0	0.000	728
turblimp_ellipsis-test-81	lmh/turblimp_ellipsis	verbatim	0	0.000	153
turblimp_ellipsis-test-81	lmh/turblimp_ellipsis	with_prefix	0	0.000	153
turblimp_ellipsis-test-81	lmh/turblimp_ellipsis	with_suffix	0	0.000	153
