# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-08-29T07:05Z	3e4cb6da4c	-	-	-	-	crash	mfl-ctrl-a: all 16 tasks SchedulingGated behind muchanem mokcamp (16-node gang, whole rack); iris timeout 3500 expired in the Kueue gate, W&B run never created. Lesson: iris --timeout covers queue wait; size it for wait+run (occupancy is intrinsically bounded by NUM_STEPS). Hero is LIVE on its own 11 racks (normal condition; campaign uses the one leftover rack).
0	2026-08-29T07:40Z	11f4578e23	23.3362	0.0	pass	drops3.5e-5,peak116.57,sd0.115	baseline	mfl-ctrl-a2: iteration-0 control draw 1 at 30k restore; window 30005-30019 complete, loss_last 1.26232 at 30019
0	2026-08-29T08:10Z	f995c18687	22.8720	-0.4642	pass	drops3.3e-5,peak116.57,sd0.856	baseline	mfl-ctrl-b: iteration-0 draw 2 (profile tail 30021-23); 4 isolated stall steps (20.55-22.09) inflate sd 7x vs a2 -- profiler hook or environment, draw c disambiguates; loss_last 1.26231 (delta 1.7e-5 vs a2)
0	2026-08-29T08:50Z	21df572364	22.9206	-	pass	drops3.3e-5,peak116.57,sd0.787,med23.3395,stalls4	baseline	mfl-ctrl-c: iteration-0 draw 3 (plain control); 4 stall steps WITHOUT profiler -> stalls are environmental skew. BASELINE FINALIZED: run medians 23.3208/23.2400/23.3395 (sd 0.053), means stall-dominated (sd 0.255); primary statistic switched to run median, keep bar 0.16; loss null band max 5.3e-5 median 1-2e-5 over 3 C-C pairs
1	2026-08-29T09:20Z	de3a750774	22.8300	-	pass	drops3.3e-5,peak112.80,sd0.765,med23.1562,stalls4	treatment	mfl-slop90-a: H6 slop90 draw 1. ENGAGED (remat 325->251 instr, net 1822->1022; peak -3.8GiB) but median -0.14 vs baseline (~2.6 sigma NEGATIVE). Freed remat apparently offset by worse LHS overlap under the looser budget. Draw 2 to confirm direction.
1	2026-08-29T09:45Z	0ac6ea7067	22.9986	-	pass	drops3.3e-5,peak112.80,sd0.571,med23.2141,stalls3	discard	mfl-slop90-b: H6 draw 2 confirms. DECISION: DISCARD slop90 — engaged-negative (remat 325->251 both draws, peak -3.8GiB) but treatment medians 23.156/23.214 vs controls 23.321/23.240/23.340 = -0.12 consistent; LHS-schedule degradation under the looser shared budget dominates the remat relief; no remat-only knob exists at this XLA rev (verified). slop-88 probe available but low-EV; stack stays at 85.
2	2026-08-29T10:15Z	287a295a11	23.1681	-	pass	drops3.4e-5,peak109.77,sd0.324,med23.2147,stalls1	treatment	mfl-h9dd-a: H9 async-copy draw 1. Compile-level engagement clear (async_start=285 logged, remat 325->268 net 1822->1770, peak -6.8GiB) but median -0.09 vs controls (~1.7sigma). Draw 2 carries the profile tail for stream placement + offload-exposure check.
2	2026-08-29T10:40Z	287a295a11	22.4622	-	pass	drops3.3e-5,peak109.77,sd1.214,med23.1282,stalls5	treatment	mfl-h9dd-b: H9 draw 2 (profile tail). Medians 23.215/23.128 vs controls 23.32/23.24/23.34 = -0.13 consistent negative. Trace analysis pending for copies-moved vs overlap-degraded attribution.
2	2026-08-29T11:20Z	d040a4cd0d	23.0855	-	pass	drops3.3e-5,peak116.57,sd0.653,med23.3841,stalls3	control	mfl-ctrl-d: bracketing control; control set medians now 23.321/23.240/23.340/23.384 (sd 0.060, keep bar 0.18); async_start control count 275 vs H9 285 = +10 wrapped (9 targets + 1 collateral) — H9 engagement formally closed; no pipeliner lines in control
3	2026-08-29T11:50Z	b662dbcd8f	-	-	-	-	crash	mfl-h10po-a: H10 draw 1 ENGAGED (Pipelinable while: while.251.clone on all ranks) then died in first jit_train_step execution: NCCL alltoall CUDA OOM (failure 2). Pre-declared outcome: negative memory interaction, fragmentation-sensitive; one same-config retry to test determinism.
