corpus_id	eval_id	n_matched_hashes	max_overlap	verdict	rationale
290a77f017a86596bfb2e2e3cdc15c9b	TIGER-Lab/MMLU-Pro-test-4846	67	0.767	false_positive	The corpus document is a preface and edition of Bacon's works (including the Novum Organum) but does not contain the specific aphorisms XI, XIX, XXII, and XXXVI quoted in the eval text; the shared content is merely the general subject matter of Bacon's philosophy, not a verbatim or paraphrased copy of the evaluated passage.
2206472ad34583a528acbcaae8bf29ed	TIGER-Lab/MMLU-Pro-test-4846	52	0.732	true_positive	The corpus document directly quotes the same Francis Bacon passage from Novum Organum (1620) that appears in the eval text, including the distinctive 13-gram 'There are and can exist but two ways of investigating and discovering truth.'
1570987f55fa89bb97780c6f54edad53	TIGER-Lab/MMLU-Pro-test-4846	37	0.521	false_positive	The corpus document quotes the same Bacon passage incidentally as an epigraph to illustrate its discussion of evolutionary history, but the document's substantive content is about the history of evolutionary thought, not a copy or paraphrase of the eval text or its associated questions.
0161b96df37a7fe1f0b5f98d62792133	TIGER-Lab/MMLU-Pro-test-4846	66	0.966	true_positive	The corpus document is the Novum Organum by Francis Bacon, the exact same source text quoted in the eval question, containing the same aphorisms (XI, XIX, XXII, XXXVI) referenced in the evaluation passage.
d0fe9a6c82c9ea815c6fd0bc02ed86f5	boolq-validation-2499	79	0.592	false_positive	The corpus document is Gray's Anatomy textbook content covering embryology and general anatomy introduction, with no mention of the fibula or the specific passages about the fibula from the eval text; the 13-gram collision is coincidental common anatomical phrasing.
b47005b67e9023bc12f5059fc031c49e	boolq-validation-1850	43	0.556	false_positive	The corpus document is a general reference dictionary/encyclopedia with no content related to the Sixth Amendment or trial rights; the 13-gram overlap is coincidental common legal phrasing.
48b85bb4d0cf52c635be8d34c569ecfb	livecodebench/code_generation_lite-test-59	1	0.679	false_positive	The corpus document is an unrelated early 20th-century agricultural magazine article about farming, nicotine sulphate insecticide, and poultry production, sharing no content with the competitive programming problem about detecting three consecutive equal elements in a sequence.
0115cdcc3a986477d98af81aee7b5dcd	TIGER-Lab/MMLU-Pro-test-4846	63	0.740	false_positive	The corpus document is a preface/edition of Bacon's Novum Organum itself, not derived from the eval text, which is a multiple-choice exam question about Bacon's work; the 13-gram overlap reflects shared quotation of Bacon's original writing, not copying of the evaluation question.
4174c185c33851486dee4462a705ded5	TIGER-Lab/MMLU-Pro-test-4846	43	0.514	false_positive	The corpus document is a preface and publication history of Bacon's Novum Organum translations, not a reproduction of the specific aphorisms (XI, XIX, XXII, XXXVI) quoted in the eval text; the 13-gram overlap is due to shared references to the same historical work rather than copied eval content.
fc5ae58d3c2d807b55482001cf185d5f	livecodebench/code_generation_lite-test-59	1	1.000	false_positive	The corpus document is a USDA agricultural bulletin about haymaking methods and labor costs, sharing no substantive content with the eval text about finding three consecutive equal elements in an integer sequence; the 13-gram overlap is purely coincidental.
1b01f3662a80a7113c6aad02e94b03c5	TIGER-Lab/MMLU-Pro-test-4846	36	0.947	false_positive	The corpus document is a biographical and introductory essay about Francis Bacon that discusses the Novum Organum contextually, but it does not reproduce the specific aphorisms (XI, XIX, XXII, XXXVI) quoted in the eval text, nor does it contain the multiple-choice question or its answer options.
bc817227bd7b5e885e9a48e3f06b8f43	boolq-validation-1850	28	0.788	false_positive	The corpus document is a 19th-century encyclopedia (Annual Cyclopaedia) covering events of 1863, with no content related to the Sixth Amendment or trial rights; the 13-gram overlap is purely coincidental common phrasing.
b8c91daa8f9ea66f81f0749e57c04cab	TIGER-Lab/MMLU-Pro-test-4882	266	0.568	false_positive	The corpus document is a preface and anthology of science classics with no overlap with the Copernicus passage from the eval text; the 13-gram collision is likely common boilerplate or incidental phrasing unrelated to the eval content.
df012a8c45c677a7cabc2be7d988f056	TIGER-Lab/MMLU-Pro-test-4846	80	0.966	true_positive	The corpus document is a copy of Bacon's Novum Organum and contains the exact eval text passages (Aphorisms XI, XIX, XXII, XXXVI) verbatim.
9c3487b071709a071df7e82f8292551a	TIGER-Lab/MMLU-Pro-test-4846	52	0.732	true_positive	The corpus document directly quotes the same passage from Bacon's Novum Organum (Aphorism XIX) that appears in the eval text, using nearly identical wording about the two ways of investigating and discovering truth.
29591b517996b18b02469bd476d7d615	TIGER-Lab/MMLU-Pro-test-4846	52	0.732	true_positive	The corpus document directly quotes the same extended passage from Bacon's Novum Organum (Aphorism XIX) that appears verbatim in the eval text, including the distinctive phrases about 'two ways of investigating and discovering truth' and 'ascending continually and gradually.'
