current_id,title,kind,nearest_prior_ids,material_novelty,status,evidence,reopen_condition
WSD80-SUR-003,Retained power law,model,"prior_AJ;prior_Y;prior_AM","Combines a signed retained-share transition with inverse-power benefit and literal epoch damage; this synthesis was not evaluated as one form in the historical registry.",active_parent,"Best current WSD80 code-target geometry, but it has not cleared the high-TPP 300M selection gate and invents phase gains on broad-text targets.","Retain only as the parent for nested ablations; promotion still requires the charter gates."
WSD80-SUR-005,Hierarchical amplitude pooling,estimator,"prior_C;prior_K","Changes partial pooling of linear response amplitudes, not the latent state or transition law.",retained_component,"Heldout error improved while 39-bucket OOF error was essentially unchanged.","Reopen only as an estimator comparison under common rows and folds."
WSD80-SUR-006,Marginal-value ordering block,model,"PMVT;PWD","Uses analytic derivatives of the RPL benefit and damage response instead of a free phase head.",retained_component,"Improved WSD80 fit but did not carry phase-gain geometry without the retention transition.","Retest only as a nested component of a materially new transition."
WSD80-SUR-008,Signed retained-state and response repairs,model,"WSD80-SUR-003;WSD80-SUR-006","Makes the retention gate tied-neutral, permits signed even response, and includes benefit and damage derivatives. These repair the RPL implementation rather than add a new mechanism.",retained_component,"Removed tied-channel contamination and improved WSD80 geometry; later smooth signed-column repairs supersede the original implementation.","Use the repaired form as the RPL parent."
WSD80-SUR-013,Gradient-tied aggregate control,model,"PMVT;PWD;prior_AB","Shares the independently fitted aggregate response with a first-order contrast derivative and Fisher-quadratic cost.",rejected,"Joint fitting rewrote the aggregate channel; staged fitting preserved it but missed WSD80 phase magnitude and failed 300M transfer.","Reopen only with a new aggregate-conditioned state or identification equation, not a free multiplier."
WSD80-SUR-015,Continuous-time retained-state transition,model,"prior_A;prior_J;PLAFK","Grafts an exact acquisition-and-forgetting ODE onto RPL's power-law response. The response graft is new, but the transition mechanism is a prior-route reopening.",rejected,"Distorted the WSD80 tied response by 14.4-16.4 seed SD and moved the optimum farther from the observed policy.","Reopen only with a materially different state transition and an outcome-free explanation for the prior StarCoder shape failures."
WSD80-SUR-019,Phase-local repetition and replay,model,"prior_B;prior_T;prior_W;prior_Y;prior_AH;RMR;FSCR;JARA","Tests phase-local replay damage and Jensen excess inside RPL. The factorization is new; unique coverage, collision, replay forgetting, and Jensen acquisition are exposed mechanisms.",rejected,"The only local gain was nearly collinear with concentration and worsened frozen heldout regret and lower-tail optimism.","Reopen only with a new measured replay state or cross-scale invariant that distinguishes the exposed mechanisms."
WSD80-SUR-020,Aggregate-conditioned replay control,model,"PMVT;PWD;prior_AB;prior_Y;JARA","Separates a tied aggregate backbone from gradient transport, Fisher phase information, and replay Jensen cost on exact aggregate-matched pairs.",rejected,"Positive replay taper exponents worsened both 300M targets and WSD80; generic even costs were collinear. Fisher was later identified as route prior_AB's local form.","Do not retune the same coordinates; require a new transition state or response invariant."
WSD80-SUR-021,Aggregate-Hessian phase control,model,"PWD;HWER;prior_AI","Uses the tied response Hessian as a nonnegative contrast cost with one amplitude.",rejected,"Worsened 300M Uncheatable asymmetric RMSE and selected the wrong WSD80 boundary with severe optimism.","Reopen only with noncommuting or state-dependent curvature that is distinguishable before outcome fitting."
WSD80-SUR-023,Late-reactivation control,model,"EAGP;prior_R;prior_AG","Models recovery when a bucket absent early reappears late; unlike a phase multiplier, the state is activated by an omission/reactivation event.",rejected,"The one-sided state improved one edge but moved error to the opposite edge and did not clear the high-TPP gate.","Reopen only with a two-sided omission and reactivation transition justified independently of residuals."
WSD80-SUR-025,Compact retained-state aggregate backbone,ablation,"prior_O","Tests an existing Compact Retained State restriction as the tied aggregate spine; it is not a new phase mechanism.",rejected,"Its tied optima were overoptimistic and unstable across folds on both 300M targets.","Reopen only after a materially new aggregate response link passes the tied gate."
WSD80-SUR-026,Corpus-scaled inverse-power curvature,model,"prior_X;prior_AA;PLSC","Makes inverse-power curvature depend on a physical corpus-size exposure scale.",rejected,"Improved random WSD80 folds but failed coordinate-blocked fit and tied-optimum tolerance.","Reopen only with a new corpus-scale state, not a wider exponent grid or free bucket exponents."
