# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-08-12T17:05Z	f69a45d88	-	-	pass	-	crash	baseline d1024 ep64 cf2.5: healthy 0.66s/step through step 30, then silent stall 06:29-17:00 UTC (all 16 tasks alive, no progress); killed to free rack. Guard baseline PASS (allowlist).
0b	2026-08-12T17:25Z	a7d605ad2	-	-	-	-	crash	relaunch stuck pre-step-0 for ~80min (no W&B run created); killed on loop pause. LOOP PAUSED by user: evaluating EP per-GPU layout on a separate branch first.
0	2026-08-12T20:35Z	d7c3a4768	5804983.5	0.0	pass	-	baseline	d1024 ep64 cf2.5 per-GPU (0c): 0.723s/step mean, drops 0.63%<=2% budget, peak HBM ok; guard baseline from 68e908192 allowlist run
1	2026-08-12T21:05Z	f930d2fd8	6150006	-	pass	-	no-op	re-baseline after rebase (pulled #8140); metric switched to median tok/s (mean swings 11% run-to-run, median stable 0.04%); drops 0.63%
2	2026-08-12T21:15Z	9f5a58d7c	6434241.5	+4.62%	pass	allowlist-6	keep	experiment: capacity factor 2.5->2.0; drops 1.32%/1.56% within 2% budget; median step 0.682->0.652s
3	2026-08-12T22:05Z	3efaecaad	6492790.2	+0.91%	pass	allowlist-6	keep	experiment: histogram QB quantile estimation; drops down 1.32->1.25%, median step 0.652->0.646s
4	2026-08-12T22:40Z	535a80d5d	6624291.3	+2.03%	pass	allowlist-6	keep	experiment: capacity factor 2.0->1.8; drops 1.78%/2.08% worst, NEAR-THRESHOLD (89% of budget) — needs longer confirmation run; median step 0.646->0.633s
# NOTE (user, 2026-08-12T22:55Z): CF is already tuned by others for mainline EP; CF moves are frontier-walking, not discoveries. No further CF arms unless another kept change reduces drops at fixed CF (interaction), in which case one CF re-titration is allowed.
5	2026-08-12T23:20Z	cc472ad89	6619899.8	-0.07%	pass	-	discard	experiment: NVLink SHARP (NVLS,Ring) on EP env — null at median resolution; reverted
6	2026-08-12T23:10Z	74baef2e1	6640006.9	+0.24%	pass	allowlist-8	keep	experiment: collective overlap limit 4->8; median 0.6332->0.6317s; drops flat 1.75%
7	2026-08-12T23:40Z	1dca31aee	6623629.9	-0.25%	pass	-	discard	experiment: overlap limit 8->16 regresses; hill-climb peak at 8; reverted
8	2026-08-13T00:00Z	3c7afa5c0	6629954.3	-0.15%	pass	-	discard	experiment: QB bins 1000->4000 null; reverted
# CORRECTION (iter 6/7): DEFAULT_COLLECTIVE_OVERLAP_LIMIT is dead code in rung runs — inline watch pins overlap to INLINE_WATCH_COLLECTIVE_OVERLAP_LIMIT=1. iter6 (+0.24%) reclassified noise-keep and REVERTED; iter7 (-0.25%) was a noise draw. Median noise floor re-estimated at ~±0.25% (was 0.04% from a single pair). iter2/iter4 gains stand; iter3 (+0.91%) ~3.6x floor, likely real. Kept anchor returns to 6,624,291 (iter4).
9	2026-08-13T00:25Z	0818d7c32	6643301.0	+0.29%	pending	-	keep-pending	experiment: inline-watch overlap 1->4 (the live constant); +0.29% is 1.1x the noise floor — confirmation draw next
10	2026-08-13T01:05Z	0818d7c32	6667649.1	+0.65%	pass	allowlist	keep	confirmation draw for iter9: two draws +0.29%/+0.65% vs anchor; inline-watch overlap 1->4 CONFIRMED keep; guard green; new anchor 6,667,649
11	2026-08-13T01:45Z	dab26384f	6592494.3	-1.13%	pass	-	discard	experiment: inline overlap 4->8 regresses clearly; live-constant peak is 4; reverted
